segnale,file,n_intervalli,somma_scarti,+1,-1,n_salti_grandi,minuti_intervalli_diversi
Fase,20260703_195912,71,2,2,0,0,"14.2(+1), 41.7(+1)"
Fase,20260703_205912,67,2,2,0,5,"10.0(+1), 36.7(+1), 47.5(-2), 50.0(+3), 51.7(+2), 52.5(-5), 54.2(+2)"
Fase,20260703_215912,72,2,3,1,2,"4.2(+1), 31.7(+1), 32.5(-1), 34.2(+1), 45.8(-2), 46.7(+2)"
Fase,20260703_225912,72,3,3,0,0,"0.8(+1), 28.3(+1), 55.8(+1)"
Fase,20260703_235912,72,2,2,0,0,"23.3(+1), 51.7(+1)"
Fase,20260704_005912,38,1,1,0,0,19.2(+1)
SOPAS,20260703_195917_pm1000.h5,144,2,20,18,0,"6.3(+1), 6.7(-1), 8.3(+1), 8.8(-1), 9.2(+1), 9.6(-1), 10.0(+1), 10.4(-1), 11.3(+1), 11.7(-1), 12.1(+1), 12.5(-1), 12.9(+1), 13.8(-1), 14.2(+1), 14.6(-1), 15.0(+1), 17.5(-1), 17.9(+1), 33.3(+1), 33.8(-1), 36.3(+1), 36.7(-1), 37.1(+1), 37.5(-1), 38.3(+1), 38.8(-1), 39.2(+1), 39.6(-1), 40.0(+1), 40.8(-1), 41.3(+1), 41.7(-1), 42.1(+1), 42.5(-1), 42.9(+1), 44.6(-1), 45.0(+1)"
SOPAS,20260703_205917_pm1000.h5,144,3,23,20,0,"1.2(+1), 1.7(-1), 3.3(+1), 3.7(-1), 4.2(+1), 4.6(-1), 6.2(+1), 6.7(-1), 7.1(+1), 7.5(-1), 7.9(+1), 8.7(-1), 9.2(+1), 9.6(-1), 10.0(+1), 12.5(-1), 12.9(+1), 28.3(+1), 28.7(-1), 31.2(+1), 31.7(-1), 32.1(+1), 32.5(-1), 33.3(+1), 33.7(-1), 34.2(+1), 34.6(-1), 35.0(+1), 35.4(-1), 35.8(+1), 36.7(-1), 37.1(+1), 37.5(-1), 37.9(+1), 39.6(-1), 40.0(+1), 40.4(-1), 40.8(+1), 56.2(+1), 56.7(-1), 59.2(+1), 59.6(-1), 60.0(+1)"
SOPAS,20260703_215917_pm1000.h5,144,2,22,20,0,"0.4(-1), 1.2(+1), 1.7(-1), 2.1(+1), 2.5(-1), 2.9(+1), 4.6(-1), 5.0(+1), 5.4(-1), 5.8(+1), 7.5(-1), 7.9(+1), 24.2(+1), 24.6(-1), 26.2(+1), 26.7(-1), 27.1(+1), 27.5(-1), 29.2(+1), 29.6(-1), 30.0(+1), 30.4(-1), 30.8(+1), 31.7(-1), 32.1(+1), 32.5(-1), 32.9(+1), 35.4(-1), 35.8(+1), 51.2(+1), 51.7(-1), 54.2(+1), 54.6(-1), 55.0(+1), 55.4(-1), 56.2(+1), 56.7(-1), 57.1(+1), 57.5(-1), 57.9(+1), 59.6(-1), 60.0(+1)"
SOPAS,20260703_225918_pm1000.h5,144,2,25,23,0,"0.4(-1), 0.8(+1), 2.5(-1), 2.9(+1), 3.3(-1), 3.7(+1), 19.1(+1), 19.6(-1), 21.2(+1), 21.6(-1), 22.1(+1), 22.5(-1), 24.1(+1), 24.6(-1), 25.0(+1), 25.4(-1), 25.8(+1), 26.6(-1), 27.1(+1), 27.5(-1), 27.9(+1), 28.3(-1), 28.7(+1), 30.4(-1), 30.8(+1), 33.3(-1), 33.7(+1), 46.2(+1), 46.6(-1), 49.1(+1), 49.6(-1), 50.0(+1), 50.4(-1), 51.2(+1), 51.6(-1), 52.1(+1), 52.5(-1), 52.9(+1), 53.3(-1), 54.1(+1), 54.6(-1), 55.0(+1), 55.4(-1), 55.8(+1), 57.5(-1), 57.9(+1), 58.3(-1), 58.7(+1)"
SOPAS,20260703_235918_pm1000.h5,144,2,22,20,0,"14.1(+1), 14.6(-1), 16.2(+1), 16.6(-1), 17.1(+1), 17.5(-1), 19.1(+1), 19.6(-1), 20.0(+1), 20.4(-1), 20.8(+1), 21.6(-1), 22.1(+1), 22.5(-1), 22.9(+1), 23.3(-1), 23.7(+1), 25.4(-1), 25.8(+1), 28.3(-1), 28.7(+1), 41.2(+1), 41.6(-1), 44.1(+1), 44.6(-1), 45.0(+1), 45.4(-1), 46.2(+1), 46.6(-1), 47.1(+1), 47.5(-1), 47.9(+1), 48.3(-1), 49.1(+1), 49.6(-1), 50.0(+1), 50.4(-1), 50.8(+1), 52.5(-1), 52.9(+1), 53.3(-1), 53.7(+1)"
SOPAS,20260704_005918_pm1000.h5,74,1,10,9,0,"9.1(+1), 9.6(-1), 12.1(+1), 12.5(-1), 14.1(+1), 14.6(-1), 15.0(+1), 15.4(-1), 15.8(+1), 16.2(-1), 17.1(+1), 17.5(-1), 17.9(+1), 18.3(-1), 18.7(+1), 20.4(-1), 20.8(+1), 23.3(-1), 23.7(+1)"
