nome_file,posizione_primo_picco
20260702_074456_pm1000.h5,15054
20260702_084456_pm1000.h5,14670
20260702_094456_pm1000.h5,14286
20260702_104457_pm1000.h5,13902
20260702_114457_pm1000.h5,13518
20260702_124457_pm1000.h5,13134
20260702_134458_pm1000.h5,12750
20260702_144458_pm1000.h5,12366
20260702_154459_pm1000.h5,11982
20260702_164459_pm1000.h5,11598
20260702_174455_pm1000.h5,15310
20260702_184456_pm1000.h5,14926
20260702_194456_pm1000.h5,14542
20260702_204456_pm1000.h5,14158
20260702_214457_pm1000.h5,13774
20260702_224457_pm1000.h5,13390
