file,lunghezza_file,posizione_primo_picco_attesa,posizione_primo_picco_reale,scarto_primo_picco,posizione_ultimo_picco_attesa,posizione_ultimo_picco_reale,scarto_ultimo_picco,scarto_nel_file,scarto_cambio_file,n_picchi_trovati
20260702_074456_pm1000.h5,3600384,15054,15054,0,3590054,3590054,0,0,,144
20260702_084456_pm1000.h5,3600384,14670,14670,0,3589670,3589670,0,0,0.0,144
20260702_094456_pm1000.h5,3600384,14286,14286,0,3589286,3589286,0,0,0.0,144
20260702_104457_pm1000.h5,3600384,13902,13902,0,3588902,3588902,0,0,0.0,144
20260702_114457_pm1000.h5,3600384,13518,13518,0,3588518,3588518,0,0,0.0,144
20260702_124457_pm1000.h5,3600384,13134,13134,0,3588134,3588134,0,0,0.0,144
20260702_134458_pm1000.h5,3600384,12750,12750,0,3587750,3587750,0,0,0.0,144
20260702_144458_pm1000.h5,3600384,12366,12366,0,3587366,3587366,0,0,0.0,144
20260702_154459_pm1000.h5,3600384,11982,11982,0,3586982,3586982,0,0,0.0,144
20260702_164459_pm1000.h5,3596288,11598,11598,0,3586598,3586598,0,0,0.0,144
20260702_174455_pm1000.h5,3600384,15310,15310,0,3590310,3590310,0,0,0.0,144
20260702_184456_pm1000.h5,3600384,14926,14926,0,3589926,3589926,0,0,0.0,144
20260702_194456_pm1000.h5,3600384,14542,14542,0,3589542,3589542,0,0,0.0,144
20260702_204456_pm1000.h5,3600384,14158,14158,0,3589158,3589158,0,0,0.0,144
20260702_214457_pm1000.h5,3600384,13774,13774,0,3588774,3588774,0,0,0.0,144
20260702_224457_pm1000.h5,2359296,13390,13390,0,2338390,2338390,0,0,0.0,94
