Dataset 1: FPGA-STM32=2.0000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.8000 ms
Dataset 2: FPGA-STM32=1.1000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.1000 ms
Dataset 3: FPGA-STM32=0.7000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.5000 ms
Dataset 4: FPGA-STM32=0.9000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.3000 ms
Dataset 5: FPGA-STM32=0.7000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.5000 ms
Dataset 6: FPGA-STM32=1.4000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.2000 ms
Dataset 7: FPGA-STM32=0.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.4000 ms
Dataset 8: FPGA-STM32=1.1000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.1000 ms
Dataset 9: FPGA-STM32=0.9000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.3000 ms
Dataset 10: FPGA-STM32=0.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.4000 ms
Dataset 11: FPGA-STM32=1.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.6000 ms
Dataset 12: FPGA-STM32=0.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.4000 ms
Dataset 13: FPGA-STM32=1.3000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.1000 ms
Dataset 14: FPGA-STM32=0.7000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.5000 ms
Dataset 15: FPGA-STM32=0.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.4000 ms
Dataset 16: FPGA-SOP=1.2000 ms
Dataset 17: FPGA-STM32=1.7000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.5000 ms
Dataset 18: FPGA-STM32=0.8000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.4000 ms
Dataset 19: FPGA-STM32=0.7000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=-0.5000 ms
Dataset 20: FPGA-STM32=1.6000 ms, FPGA-SOP=1.2000 ms, SOP-STM32=0.4000 ms
Risultati salvati in: C:\Users\lab\PycharmProjects\JupyterProject\Fiber Sensing Acquisition\cross_correlation_lag_results.csv
