dataset,lag_fpga_stm_ms,lag_fpga_sop_ms,lag_sop_stm_ms,corr_stm_error,corr_sop_stm_error
1,2.0,1.2,0.8,,
2,1.1,1.2,-0.1,,
3,0.7,1.2,-0.5,,
4,0.9,1.2,-0.3,,
5,0.7,1.2,-0.5,,
6,1.4,1.2,0.2,,
7,0.8,1.2,-0.4,,
8,1.1,1.2,-0.1,,
9,0.9,1.2,-0.3,,
10,0.8,1.2,-0.4,,
11,1.8,1.2,0.6,,
12,0.8,1.2,-0.4,,
13,1.3,1.2,0.1,,
14,0.7,1.2,-0.5,,
15,0.8,1.2,-0.4,,
16,,1.2,,"Nessuna sovrapposizione temporale tra i due segnali: segnale 1 = [96.3900, 698.3299] s, segnale 2 = [0.0000, 34.1239] s","Nessuna sovrapposizione temporale tra i due segnali: segnale 1 = [96.3900, 698.3299] s, segnale 2 = [0.0000, 24.5758] s"
17,1.7,1.2,0.5,,
18,0.8,1.2,-0.4,,
19,0.7,1.2,-0.5,,
20,1.6,1.2,0.4,,
